time,survival,lower,upper,censored,group
0,1,1,1,0,"High"
0.0191666666666667,0.916666666666667,0.538977180570741,0.987825565400458,0,"High"
0.358333333333333,0.833333333333333,0.481714942195379,0.955509365728065,0,"High"
0.748333333333333,0.666666666666667,0.337018932541402,0.85971179908444,0,"High"
0.865833333333333,0.583333333333333,0.270138924085497,0.800940192333387,0,"High"
1.38,0.583333333333333,0.270138924085497,0.800940192333387,1,"High"
1.9975,0.583333333333333,0.270138924085497,0.800940192333387,1,"High"
2.24583333333333,0.466666666666667,0.167787735310475,0.722238249330369,0,"High"
3.74333333333333,0.35,0.0922424646296966,0.629751215004772,0,"High"
4.145,0.35,0.0922424646296966,0.629751215004772,1,"High"
4.44833333333333,0.35,0.0922424646296966,0.629751215004772,1,"High"
6.40416666666667,0.35,0.0922424646296966,0.629751215004772,1,"High"
0,1,1,1,0,"Low"
0.0925,0.99009900990099,0.931798508582655,0.998599354782094,0,"Low"
0.226666666666667,0.99009900990099,0.931798508582655,0.998599354782094,1,"Low"
0.333333333333333,0.97009700970097,0.910155634086746,0.990257199813259,0,"Low"
0.415,0.96009600960096,0.897167803719413,0.984834227025936,0,"Low"
0.423333333333333,0.95009500950095,0.884254460187898,0.978920219726209,0,"Low"
0.5575,0.94009400940094,0.871510440236624,0.972632812696418,0,"Low"
0.5625,0.93009300930093,0.858949507533714,0.966047400155743,0,"Low"
0.585,0.92009200920092,0.846563776728336,0.959215832598547,0,"Low"
0.666666666666667,0.91009100910091,0.834339915675254,0.952175629342367,0,"Low"
0.7075,0.9000900090009,0.822264118486627,0.94495500448046,0,"Low"
0.748333333333333,0.89008900890089,0.810323638934383,0.937575823756238,1,"Low"
0.773333333333333,0.879974361072471,0.798318803037507,0.929989797432122,0,"Low"
0.79,0.869859713244052,0.786438221908988,0.922273019573094,0,"Low"
0.830833333333333,0.849630417587214,0.763009587184316,0.906493216754068,0,"Low"
0.915,0.839515769758794,0.751445077640071,0.898448653511198,0,"Low"
0.94,0.829401121930375,0.739971365660053,0.890311011754505,0,"Low"
0.9725,0.819286474101956,0.728582765117756,0.882086501792867,0,"Low"
0.9975,0.809171826273537,0.717274304066881,0.873780514168555,0,"Low"
1.16416666666667,0.799057178445118,0.706041609864951,0.865397760765505,0,"Low"
1.34666666666667,0.799057178445118,0.706041609864951,0.865397760765505,1,"Low"
1.4725,0.799057178445118,0.706041609864951,0.865397760765505,1,"Low"
1.4975,0.799057178445118,0.706041609864951,0.865397760765505,1,"Low"
1.71583333333333,0.788543268202418,0.694307749596228,0.856677281180812,0,"Low"
1.72916666666667,0.77802935795972,0.682659512317377,0.847879829191474,0,"Low"
1.83083333333333,0.767515447717021,0.671092053838394,0.839009195845223,1,"Low"
1.89583333333333,0.767515447717021,0.671092053838394,0.839009195845223,1,"Low"
1.9125,0.767515447717021,0.671092053838394,0.839009195845223,1,"Low"
1.92333333333333,0.767515447717021,0.671092053838394,0.839009195845223,1,"Low"
1.95333333333333,0.767515447717021,0.671092053838394,0.839009195845223,1,"Low"
