cutoff,low_n,high_n,p_value,adjusted_p
8.58908931290962,10,53,0.619055794856752,1
8.62607403609031,11,52,0.641141574778713,1
8.76520320665317,12,51,0.662782714316168,1
8.78168756150718,13,50,0.684014868416517,1
8.88935185259465,14,49,0.766039133885794,1
8.90237511448603,15,48,0.785905818358643,1
8.93014594790882,16,47,0.862363422647313,1
8.93693233652239,17,46,0.862363422647313,1
8.98128185405741,18,45,0.935200818168702,1
9.02486262686334,19,44,0.953199884395314,1
9.04302728359455,20,43,0.977455705580268,1
9.07761687174007,21,42,0.910225318146415,1
9.13416959007684,22,41,0.893619904744884,1
9.14261765544658,23,40,0.877132289932441,1
9.17267752078386,24,39,0.860745721328317,1
9.1920461788533,25,38,0.844444185677275,1
9.1994269676709,26,37,0.844444185677275,1
9.31424334674856,27,36,0.828212319299466,1
9.35821162287581,28,35,0.764964852794584,1
9.39724678744072,29,34,0.749212794391428,1
9.403012023575,30,33,0.687340047155465,1
9.4148966042115,31,32,0.626090857685671,1
9.41574176829009,32,31,0.537767997669211,1
9.42206476617281,33,30,0.551628079930555,1
9.42479614913847,34,29,0.565503987451274,1
9.43149760425805,35,28,0.579404323535901,1
9.43962313755712,36,27,0.59333820160351,1
9.4743143533158,37,26,0.607315282527938,1
9.48139582415413,38,25,0.662955238546964,1
9.5127404628035,39,24,0.662955238546964,1
9.5853381536437,40,23,0.677743719947692,1
9.58833986092348,41,22,0.692620800776098,1
9.60991744529631,42,21,0.707600749733576,1
9.61120927336935,43,20,0.722698821000489,1
9.61820194159408,44,19,0.737931375013959,1
9.6386169183243,45,18,0.800544475811086,1
9.68053534400517,46,17,0.866896350325224,1
9.69627208392586,47,16,0.884519417279966,1
9.71681946132995,48,15,0.902427876393038,1
9.73961186364278,49,14,0.920654367876801,1
9.74634636083315,50,13,0.939234815692061,1
9.79425339154382,51,12,0.939234815692061,1
9.80912500152228,52,11,0.619055794856752,1
9.83146559900125,53,10,0.596487529987558,1
