n,mean,median,sd,iqr,min,max,subgroup
144,9.71348063823973,9.74903075855959,0.526378530202171,0.720941243007349,8.00674683244059,10.8067107179652,group3
326,9.4255639187672,9.41097472551986,0.425648190484946,0.519640471145532,7.84549005094438,10.8059856443569,group4
223,9.19055966210741,9.13750352374993,0.539451322703673,0.687848881149503,7.77676200178623,11.8042923874427,shh
70,9.32462431233843,9.40895431389325,0.54557475472378,0.705708557280001,7.95535930524299,10.5873087283335,wnt
