time,survival,lower,upper,censored,group
0,1,1,1,0,"High"
0.0191666666666667,0.977272727272727,0.849411709737358,0.996766993364271,0,"High"
0.0925,0.954545454545454,0.830248145142608,0.988434309967376,0,"High"
0.358333333333333,0.931818181818182,0.80331677692416,0.977486964259645,0,"High"
0.748333333333333,0.886363636363636,0.748288635013158,0.951056275344915,0,"High"
0.773333333333333,0.863636363636364,0.721404274131599,0.936303139076676,0,"High"
0.865833333333333,0.840909090909091,0.695035104705418,0.920785688567111,0,"High"
0.915,0.818181818181818,0.669161344147631,0.904621847632445,0,"High"
0.9725,0.795454545454545,0.643752105127324,0.887896658241506,0,"High"
1.16416666666667,0.772727272727273,0.618776239928303,0.870673683048482,0,"High"
1.38,0.772727272727273,0.618776239928303,0.870673683048482,1,"High"
1.4975,0.772727272727273,0.618776239928303,0.870673683048482,1,"High"
1.71583333333333,0.748579545454545,0.59197172081695,0.852195994841424,0,"High"
1.97,0.724431818181818,0.565732323002005,0.833239290457081,0,"High"
1.97833333333333,0.700284090909091,0.540002565025338,0.813840520286522,0,"High"
1.9975,0.700284090909091,0.540002565025338,0.813840520286522,1,"High"
2.055,0.700284090909091,0.540002565025338,0.813840520286522,1,"High"
2.24583333333333,0.674347643097643,0.512099300660359,0.792969141060756,1,"High"
2.49416666666667,0.674347643097643,0.512099300660359,0.792969141060756,1,"High"
2.77333333333333,0.674347643097643,0.512099300660359,0.792969141060756,1,"High"
3.41,0.645028180354267,0.479763752922571,0.76970028591287,1,"High"
3.74333333333333,0.61431255271835,0.446390181947961,0.745013400832229,0,"High"
3.83083333333333,0.61431255271835,0.446390181947961,0.745013400832229,1,"High"
3.87416666666667,0.581980313101595,0.411791493759835,0.718731473837277,0,"High"
4.145,0.581980313101595,0.411791493759835,0.718731473837277,1,"High"
4.44833333333333,0.581980313101595,0.411791493759835,0.718731473837277,1,"High"
4.54083333333333,0.581980313101595,0.411791493759835,0.718731473837277,1,"High"
4.8225,0.543181625561488,0.368869940032557,0.688331722951742,0,"High"
5.47,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
5.77833333333333,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
6.15333333333333,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
6.2375,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
6.40416666666667,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
7.235,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
8.06583333333333,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
9.48083333333333,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
9.87666666666667,0.543181625561488,0.368869940032557,0.688331722951742,1,"High"
10.3116666666667,0.434545300449191,0.206807773198562,0.643537013759886,0,"High"
11.2758333333333,0.434545300449191,0.206807773198562,0.643537013759886,1,"High"
13.8883333333333,0.434545300449191,0.206807773198562,0.643537013759886,1,"High"
15.3275,0.434545300449191,0.206807773198562,0.643537013759886,1,"High"
16.4675,0.434545300449191,0.206807773198562,0.643537013759886,1,"High"
0,1,1,1,0,"Low"
0.226666666666667,1,1,1,1,"Low"
0.333333333333333,0.970588235294118,0.88747815668001,0.992562027849362,0,"Low"
0.415,0.955882352941176,0.869434337629555,0.985554442966104,0,"Low"
