time,survival,lower,upper,censored,group
0,1,1,1,0,"High"
0.0816666666666667,0.98876404494382,0.922915880413207,0.998409587809785,0,"High"
0.248333333333333,0.98876404494382,0.922915880413207,0.998409587809785,1,"High"
0.5,0.977398940978949,0.912639097148163,0.994299543416747,0,"High"
0.666666666666667,0.966033837014077,0.89838406626564,0.988918034493871,0,"High"
0.748333333333333,0.966033837014077,0.89838406626564,0.988918034493871,1,"High"
0.830833333333333,0.966033837014077,0.89838406626564,0.988918034493871,1,"High"
0.989166666666667,0.966033837014077,0.89838406626564,0.988918034493871,1,"High"
1.06583333333333,0.954252936562686,0.882654078361991,0.982586592992197,0,"High"
1.08166666666667,0.954252936562686,0.882654078361991,0.982586592992197,1,"High"
1.33083333333333,0.942324774855653,0.866908011192545,0.975593837740658,0,"High"
1.47,0.942324774855653,0.866908011192545,0.975593837740658,1,"High"
1.57083333333333,0.942324774855653,0.866908011192545,0.975593837740658,1,"High"
1.5875,0.930086790766618,0.850870059674313,0.967996349019815,0,"High"
1.66416666666667,0.930086790766618,0.850870059674313,0.967996349019815,1,"High"
1.705,0.930086790766618,0.850870059674313,0.967996349019815,1,"High"
1.83083333333333,0.930086790766618,0.850870059674313,0.967996349019815,1,"High"
1.9125,0.904604960882601,0.818014561073149,0.951192978945141,1,"High"
1.97833333333333,0.891682032869993,0.801839285990781,0.942221755357631,0,"High"
1.9975,0.878759104857384,0.785994814178428,0.932983406252656,0,"High"
2.07916666666667,0.878759104857384,0.785994814178428,0.932983406252656,1,"High"
2.16083333333333,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.3275,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.48666666666667,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.49416666666667,0.865643297322199,0.770094144929205,0.923406155542652,2,"High"
2.57916666666667,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.59583333333333,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.60416666666667,0.865643297322199,0.770094144929205,0.923406155542652,1,"High"
2.66083333333333,0.85071841288561,0.751302224475146,0.91264321996236,0,"High"
2.82,0.83579352844902,0.732982584204878,0.901605304642782,0,"High"
2.91,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
2.99416666666667,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
3.07666666666667,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
3.16083333333333,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
3.24333333333333,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
3.41,0.83579352844902,0.732982584204878,0.901605304642782,2,"High"
3.49166666666667,0.83579352844902,0.732982584204878,0.901605304642782,1,"High"
3.66916666666667,0.818381163272999,0.71071705228902,0.889018114539879,0,"High"
3.74333333333333,0.800968798096977,0.68914477585475,0.876081480940328,0,"High"
3.825,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
3.91,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
3.99166666666667,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.07416666666667,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.325,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.57416666666667,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.65833333333333,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.74083333333333,0.800968798096977,0.68914477585475,0.876081480940328,1,"High"
4.8225,0.779890671831267,0.661703110446612,0.860995711017618,0,"High"
4.96416666666667,0.779890671831267,0.661703110446612,0.860995711017618,1,"High"
4.98916666666667,0.758227042058177,0.634320123993761,0.845114096833126,2,"High"
5.12333333333333,0.758227042058177,0.634320123993761,0.845114096833126,1,"High"
5.24083333333333,0.758227042058177,0.634320123993761,0.845114096833126,2,"High"
5.3225,0.758227042058177,0.634320123993761,0.845114096833126,1,"High"
5.53,0.758227042058177,0.634320123993761,0.845114096833126,1,"High"
6.01333333333333,0.731147504841813,0.598217226759702,0.826260201726551,0,"High"
6.2375,0.70406796762545,0.564091015202739,0.8065118371782,0,"High"
6.32,0.70406796762545,0.564091015202739,0.8065118371782,1,"High"
6.48666666666667,0.675905248920432,0.529692501714235,0.785488983390314,0,"High"
6.51916666666667,0.675905248920432,0.529692501714235,0.785488983390314,1,"High"
