time,survival,lower,upper,censored,group
0,1,1,1,0,"High"
0.0816666666666667,0.987012987012987,0.911374904896243,0.998160340862551,0,"High"
0.248333333333333,0.987012987012987,0.911374904896243,0.998160340862551,2,"High"
0.5,0.973674973674974,0.898795328344066,0.99335207501805,0,"High"
0.666666666666667,0.946998946998947,0.864899368653746,0.979774957313026,0,"High"
0.715833333333333,0.933660933660934,0.847918247873422,0.971843147382931,0,"High"
0.989166666666667,0.933660933660934,0.847918247873422,0.971843147382931,1,"High"
0.9975,0.92012961578179,0.830795136871773,0.963310981772159,1,"High"
1.06583333333333,0.9063963379343,0.813596757570281,0.954258373291977,0,"High"
1.08166666666667,0.9063963379343,0.813596757570281,0.954258373291977,1,"High"
1.1475,0.892451778889157,0.796334040802609,0.944737001851222,0,"High"
1.22166666666667,0.892451778889157,0.796334040802609,0.944737001851222,1,"High"
1.33083333333333,0.878285877636948,0.778997919594719,0.934781067778339,0,"High"
1.57916666666667,0.86411997638474,0.761980264753449,0.924536981025965,0,"High"
1.5875,0.849954075132531,0.745237817378357,0.914039050766067,0,"High"
1.66416666666667,0.849954075132531,0.745237817378357,0.914039050766067,1,"High"
1.68,0.849954075132531,0.745237817378357,0.914039050766067,1,"High"
1.83083333333333,0.849954075132531,0.745237817378357,0.914039050766067,1,"High"
1.9975,0.820131125127881,0.710058711826945,0.891515942759978,1,"High"
2.07916666666667,0.820131125127881,0.710058711826945,0.891515942759978,1,"High"
2.16083333333333,0.820131125127881,0.710058711826945,0.891515942759978,2,"High"
2.22916666666667,0.820131125127881,0.710058711826945,0.891515942759978,1,"High"
2.24583333333333,0.820131125127881,0.710058711826945,0.891515942759978,1,"High"
2.3275,0.820131125127881,0.710058711826945,0.891515942759978,1,"High"
2.49166666666667,0.80304506002105,0.689302085324378,0.878704160141862,0,"High"
2.59583333333333,0.80304506002105,0.689302085324378,0.878704160141862,1,"High"
2.7625,0.785587558716244,0.668413326049602,0.865400456568316,0,"High"
2.99416666666667,0.785587558716244,0.668413326049602,0.865400456568316,1,"High"
3.00833333333333,0.785587558716244,0.668413326049602,0.865400456568316,1,"High"
3.07666666666667,0.785587558716244,0.668413326049602,0.865400456568316,2,"High"
3.13416666666667,0.785587558716244,0.668413326049602,0.865400456568316,1,"High"
3.16083333333333,0.785587558716244,0.668413326049602,0.865400456568316,1,"High"
3.3275,0.785587558716244,0.668413326049602,0.865400456568316,1,"High"
3.41,0.785587558716244,0.668413326049602,0.865400456568316,2,"High"
