gene,selected,metastasis_n,metastasis_p,survival_n,events,mean_cutoff,logrank_p,HR,cox_p,PH_p
HLX,group3,573,0.470100570749537,612,159,5.94613989457325,0.0149048182582308,1.51970044019311,0.0156838854840244,0.147042533189574
MYC,"",573,0.350306089671799,612,159,6.66368630448148,0.00441659361810094,1.57234396411651,0.00476821383399239,0.266848628271543
SLC2A1,group3,573,0.322947095080366,612,159,9.40195747829394,0.802673777144782,1.04040416450895,0.803584704670381,0.62246926616157
