ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-001987","NZM43","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-001988","NZM5","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-001989","NZM6","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-001990","NZM7","Skin","Melanoma","Melanoma","MEL",-0.0573267228116924,FALSE,"HLX"
"ACH-001991","NZOV9","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","EOV",0.0556123983120058,FALSE,"HLX"
"ACH-001992","ONE58","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",0.0592331786348743,FALSE,"HLX"
"ACH-001993","NALM-16","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","BLLHYPO",-0.00477636201127159,FALSE,"HLX"
"ACH-001994","ICC16","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","IHCH",NA,FALSE,"HLX"
"ACH-001996","ICC18","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","IHCH",NA,FALSE,"HLX"
"ACH-001997","ECC2","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","EHCH",0.0423845049818765,FALSE,"HLX"
"ACH-001999","950-5-BIK","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.0522161548535739,FALSE,"HLX"
"ACH-002001","A375 SKIN CJ1","Skin","Melanoma","Melanoma","MEL",-0.174039679555051,FALSE,"HLX"
"ACH-002002","A375 SKIN CJ2","Skin","Melanoma","Melanoma","MEL",-0.0162812413242008,FALSE,"HLX"
"ACH-002003","A375 SKIN CJ3","Skin","Melanoma","Melanoma","MEL",0.0855660735627205,FALSE,"HLX"
"ACH-002004","UACC62 SKIN CJ1","Skin","Melanoma","Melanoma","MEL",-0.0160844131630558,FALSE,"HLX"
"ACH-002005","SK-MEL-19","Skin","Melanoma","Cutaneous Melanoma","SKCM",0.313168357805212,FALSE,"HLX"
"ACH-002010","MP41","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HLX"
"ACH-002011","MP46","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HLX"
"ACH-002013","MM28","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HLX"
"ACH-002014","Mel270","Eye","Ocular Melanoma","Uveal Melanoma","UM",-0.246208280780234,FALSE,"HLX"
