cutoff,low_n,high_n,p_value,adjusted_p
5.24792751344359,28,236,0.135052325390082,1
5.25171909260596,30,234,0.196386937474788,1
5.25550073314839,31,233,0.169333297147864,1
5.25927248703759,33,231,0.145192005209173,1
5.2667865406949,35,229,0.106084008117388,1
5.27052894238072,36,228,0.10496445589922,1
5.27798474729977,37,227,0.0961308468186694,1
5.28169825009883,39,225,0.0752130587921131,1
5.29645740737124,41,223,0.0944822473172333,1
5.30012372456901,42,222,0.0773549547307171,1
5.3037807481771,43,221,0.0630514661375905,1
5.3110671022556,45,219,0.0559940967471709,1
5.31831684133498,47,217,0.0824742812845999,1
5.32192809488736,50,214,0.171540289710089,1
5.32553033156756,51,213,0.28061828597226,1
5.3327079336406,53,211,0.210829137171439,1
5.33628338786443,55,209,0.188199555033771,1
5.33985000288462,56,208,0.245172652228626,1
5.34340782229781,58,206,0.195942398731305,1
5.34695688937888,60,204,0.246966097325669,1
5.35049724708413,62,202,0.343654967876365,1
5.35402893805439,63,201,0.336275440863714,1
5.35755200461808,65,199,0.227730423646055,1
5.36106648879432,67,197,0.192874984625892,1
5.36806987653208,70,194,0.130178327615661,1
5.37155886261196,71,193,0.114420831670463,1
5.37503943134692,73,191,0.145147066787541,1
5.37851162325373,76,188,0.103510576232338,1
5.3819754785573,79,185,0.0419130291480023,1
5.38543103719352,80,184,0.0732765919731215,1
5.38887833881199,81,183,0.0605900365615573,1
5.39231742277876,82,182,0.0465846202440192,1
5.39917109381982,84,180,0.0349767537682357,1
5.40599235967584,86,178,0.0401360525034334,1
5.4093909361377,88,176,0.0612408501156127,1
5.41278152533848,89,175,0.0504016190238596,1
5.41616416473313,90,174,0.0786233227982951,1
5.41953889151378,91,173,0.130617245298558,1
5.42290574261218,92,172,0.125000691500663,1
5.4262647547021,95,169,0.163488212702129,1
5.42961596420174,97,167,0.198852160496201,1
5.43295940727611,98,166,0.176149213846964,1
5.43962313755712,101,163,0.218740458146423,1
5.44294349584873,103,161,0.137613211619768,1
5.44625622988956,104,160,0.130598029151403,1
5.456149034648,107,157,0.0778915320076613,1
5.4594316186373,109,155,0.0565635281525519,1
5.46270675067016,112,152,0.0659817524106614,1
5.46597446450407,114,150,0.0875018599833295,1
5.46923479366766,115,149,0.126548268472951,1
5.47897180503294,116,148,0.162318580288261,1
5.48220292629596,117,147,0.203083512758724,1
5.48864353985378,118,146,0.203083512758724,1
5.49185309632967,120,144,0.163354838530453,1
5.49505552836802,121,143,0.156916135844464,1
5.49825086752783,122,142,0.237934599265039,1
5.50143914515887,124,140,0.194204476717345,1
5.50462039240355,125,139,0.137737687717647,1
5.51096191927738,128,136,0.159693749877311,1
5.52042224852645,130,134,0.112100179690738,1
5.52356195605701,132,132,0.0942118963830509,1
