group,n,mean,median,iqr
"atrt",10,1.77420570316735,1.67354933531113,0.52281841243613
"etmr",4,1.231871088682,1.21400417755625,0.114232369288689
"hgg_k27m",9,1.6860472373712,1.66902676550963,0.382976290046545
"hggother",17,1.78376649069829,1.6959938131099,0.563267429621837
"mb_group3",37,3.22906163026923,1.75274859140713,4.77143154971253
"mb_group4",64,1.30838109105966,1.15704371014558,0.131728853131345
"mb_shh",25,1.48098565157299,1.41683974191283,0.341651615347941
"mb_wnt",12,1.41209135935144,1.28384573100988,0.343469519898089
"pa",68,1.5363367879049,1.48284597461235,0.282426843995791
