ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002806","TB096","CNS/Brain","Diffuse Glioma","Anaplastic Astrocytoma","AASTR",-0.662968676232127,FALSE,"HMGCR"
"ACH-002834","OS384","Bone","Osteosarcoma","Osteosarcoma","OS",-0.606504313068303,FALSE,"HMGCR"
"ACH-002835","CCLF_UPGI_0011_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-002837","CCLF_UPGI_0015_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-002839","CCLF_CORE_0002_T","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"HMGCR"
"ACH-002843","CCLF_RARE_0020_T","Soft Tissue","Desmoid/Aggressive Fibromatosis","Desmoid/Aggressive Fibromatosis","DES",NA,FALSE,"HMGCR"
"ACH-002844","CCLF_RARE_0025_T","Soft Tissue","Desmoid/Aggressive Fibromatosis","Desmoid/Aggressive Fibromatosis","DES",NA,FALSE,"HMGCR"
"ACH-002846","YUSEEP-M 16-3517","Skin","Melanoma","Acral Melanoma","ACRM",NA,FALSE,"HMGCR"
"ACH-002847","YUHOIN","Skin","Melanoma","Melanoma","MEL",-1.2011332719425,FALSE,"HMGCR"
"ACH-002871","CCLF_UPGI_0054_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-002883","IPM-BO-053","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC",NA,FALSE,"HMGCR"
"ACH-002884","IPM-BO-055","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC",NA,FALSE,"HMGCR"
"ACH-002885","IPM-BO-056","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC",NA,FALSE,"HMGCR"
"ACH-002886","VACO 432","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"HMGCR"
"ACH-002921","BCK4","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC",NA,FALSE,"HMGCR"
"ACH-002922","SK-N-MM","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL",-0.984078836163453,FALSE,"HMGCR"
"ACH-002924","UPMM2","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HMGCR"
"ACH-002925","UPMM3","Eye","Ocular Melanoma","Uveal Melanoma","UM",-1.29302771023376,FALSE,"HMGCR"
"ACH-002926","UPMD1","Eye","Ocular Melanoma","Uveal Melanoma","UM",-1.25194890624427,FALSE,"HMGCR"
"ACH-002927","UPMD2","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HMGCR"
"ACH-002928","MM100511","Skin","Melanoma","Acral Melanoma","ACRM",-2.03142330071157,FALSE,"HMGCR"
"ACH-002932","CCLF_NEURO_0001_T","Bowel","Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","COADREAD",NA,FALSE,"HMGCR"
"ACH-002936","CCLF_PEDS_0043_T","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma","ARMS",NA,FALSE,"HMGCR"
"ACH-002937","CCLF_PEDS_0020_T","Kidney","Wilms' Tumor","Wilms' Tumor","WT",NA,FALSE,"HMGCR"
"ACH-002942","CCLF_RARE_0004_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-002946","UKE-1","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"HMGCR"
"ACH-002950","NH93T","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",NA,FALSE,"HMGCR"
"ACH-002951","NH84T","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA",NA,FALSE,"HMGCR"
"ACH-002954","CCLF_UPGI_0012_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-002967","CCLF_UPGI_0036_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD",NA,FALSE,"HMGCR"
"ACH-002968","CCLF_UPGI_0041_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD",NA,FALSE,"HMGCR"
"ACH-002972","CCLF_UPGI_0085_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD",NA,FALSE,"HMGCR"
