cutoff,low_n,high_n,p_value,adjusted_p
5.35402893805439,18,154,0.752368351410674,1
5.35755200461808,20,152,0.599735494750754,1
5.3819754785573,21,151,0.322387118102263,1
5.38887833881199,22,150,0.397302360481017,1
5.41953889151378,23,149,0.18870566689488,1
5.43295940727611,24,148,0.22138921305676,1
5.43962313755712,25,147,0.268765857628363,1
5.44956137461324,26,146,0.295175484676738,1
5.456149034648,28,144,0.0596618653448471,1
5.4594316186373,29,143,0.072307733662718,1
5.47248777146274,30,142,0.130344537117126,1
5.48864353985378,31,141,0.210303964854871,1
5.49505552836802,32,140,0.239188638415548,1
5.49825086752783,33,139,0.346700656070555,1
5.50462039240355,34,138,0.471727520661194,1
5.51096191927738,35,137,0.530323023943143,1
5.52042224852645,37,135,0.653525135580592,1
5.52356195605701,39,133,0.822541508568017,1
5.53294028837287,40,132,0.858773397092676,1
5.53605290024021,41,131,0.888201411611736,1
5.53915881110803,42,130,0.993961842934175,1
5.54843662469604,43,129,0.863127939962508,1
5.56985560833095,44,128,0.84342150687507,1
5.57288966842058,45,127,0.885044372970772,1
5.57591736111815,46,126,0.977825924787494,1
5.57893871309339,47,125,0.968225164588451,1
5.58796498888268,48,124,0.948522393374165,1
5.5909612413426,49,123,0.881249180627472,1
5.59395128394841,51,121,0.75230050921177,1
5.59693514238723,53,119,0.592796223194481,1
5.59991284218713,55,117,0.478479188219699,1
5.60584986719498,57,115,0.374200468005926,1
5.60880924267552,59,113,0.473279652997823,1
5.61470984411521,60,112,0.463570849261359,1
5.62058641045188,61,111,0.661713845923239,1
5.62935662007961,62,110,0.658894787255181,1
5.63226821549951,63,109,0.586078515522568,1
5.64385618977472,66,106,0.921578969046761,1
5.64961545906341,67,105,0.88280925308645,1
5.65535182861255,68,104,0.835033084605307,1
5.66959375118833,69,103,0.782365474723186,1
5.6724253419715,70,102,0.964012437569662,1
5.68088692071969,72,100,0.793108005721145,1
5.68650052718322,73,99,0.829040918261067,1
5.68929916053589,75,97,0.958565823510068,1
5.69488019279919,78,94,0.879888875715716,1
5.69766263347052,79,93,0.80055332141377,1
5.70321146739115,81,91,0.693491267041762,1
5.70597790168252,83,89,0.705464653017854,1
5.71149490665009,84,88,0.624831785505492,1
5.71973105674985,88,84,0.646103915421127,1
5.7279204545632,89,83,0.884328354783059,1
5.73063995591679,91,81,0.98761612301274,1
5.73876783680019,92,80,0.800050691781046,1
5.74416109557041,93,79,0.921988276189677,1
5.74953426766926,94,78,0.997070687317758,1
5.75221336786514,95,77,0.776907965631436,1
5.75488750216347,97,75,0.8888235171669,1
5.78920757534735,98,74,0.96984660793298,1
5.79181407116183,99,73,0.982479370801975,1
5.79701297783614,100,72,0.776390917104489,1
5.79960542245267,104,68,0.890951670272575,1
5.80219321694183,105,67,0.84976286856569,1
5.81506301719287,107,65,0.974137202998806,1
5.81762325751143,108,64,0.933687227440641,1
5.82017896241519,109,63,0.849745905845777,1
5.82273014794452,110,62,0.800652633349161,1
5.83035674741922,112,60,0.999242461600941,1
5.84046323386954,113,59,0.950535391775978,1
5.84549005094438,114,58,0.890149302425394,1
5.85299758761332,115,57,0.833652522257219,1
5.85549144310187,116,56,0.769838694714512,1
5.86542397831313,117,55,0.714380894129191,1
5.8703647195834,118,54,0.624285249472559,1
5.87282875953489,120,52,0.745769309697455,1
5.8801957289431,121,51,0.615860534602403,1
5.89481776330794,124,48,0.489787892403716,1
5.8972404255748,125,47,0.466933448202956,1
5.90689059560852,126,46,0.423842418120327,1
5.91169158187234,129,43,0.342399687230932,1
5.91408609701272,130,42,0.522708413964269,1
5.91886323727459,131,41,0.484917519716569,1
5.93073733756289,133,39,0.345497304078909,1
5.94251450533924,134,38,0.562210294264796,1
5.96116025813664,135,37,0.498097454574077,1
5.97039353791468,137,35,0.352540045180652,1
5.97498811199193,138,34,0.311126000124209,1
5.98413359454098,140,32,0.169890914507973,1
5.98641093525204,142,30,0.248793566101512,1
5.98868468677217,143,29,0.229553048739224,1
5.99774402605963,144,28,0.19044906521483,1
6.01792190799726,145,27,0.328461496348945,1
6.04220656012069,146,26,0.277410153660623,1
6.0639343057541,147,25,0.224464087701549,1
6.06608919045777,148,24,0.135122067734041,1
6.07895134139482,149,23,0.100654476420065,1
6.08108392868763,150,22,0.0902328718844005,1
6.08746284125034,151,21,0.0730996386428588,1
6.09803208296053,152,20,0.193053824621174,1
6.13955135239879,153,19,0.160871898656879,1
6.14363830992204,154,18,0.101699926103866,1
