library,term,set_size,evidence
"WikiPathways_2024_Human","TYROBP Causal Network In Microglia WP3945",62,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","VEGFA VEGFR2 Signaling WP3888",430,"Annotated gene membership; not enrichment or pathway activity"
