cutoff,low_n,high_n,p_value,adjusted_p
8.49185309632968,10,53,0.307692173699887,1
8.50858711208948,11,52,0.307692173699887,1
8.52473758701238,12,51,0.301542758162657,1
8.54148386405428,13,50,0.816781152335236,1
8.54920708935568,14,49,0.800580859538384,1
8.57213175138666,15,48,0.784619236188655,1
8.65785433581572,16,47,0.768871767431295,1
8.6614218327891,17,46,0.75331601854202,1
8.66426949231891,18,45,0.692708420235157,1
8.68650052718322,19,44,0.459554417876803,1
8.70424950200186,20,43,0.459554417876803,1
8.71115071124326,21,42,0.475003260494044,1
8.71183901995903,22,41,0.490367321264319,1
8.71252700043982,23,40,0.548420070486956,1
8.71424551766612,24,39,0.548420070486956,1
8.74416109557041,25,38,0.607115251775012,1
8.75187875229113,26,37,0.623072411247686,1
8.75355105460065,27,36,0.638961375968731,1
8.77478705960117,28,35,0.103406310994823,1
8.7983097824546,29,34,0.108501748548986,1
8.81474266745448,30,33,0.113616386375331,1
8.83636600871667,31,32,0.132611984608069,1
8.89087223954207,32,31,0.138222600306342,1
8.91587937883577,33,30,0.14383322645721,1
8.93014594790882,34,29,0.14383322645721,1
8.94661390541276,35,28,0.14383322645721,1
8.95971220517869,36,27,0.149437930424579,1
8.96376309644273,37,26,0.170578776262733,1
8.98584193700334,38,25,0.176636537614181,1
8.9940705277412,39,24,0.198812549135157,1
9.00112666545428,40,23,0.205312145852952,1
9.00926878226567,41,22,0.21178015580421,1
9.03644838544088,42,21,0.218211339805679,1
9.08640164588003,43,20,0.242223151070778,1
9.0911708900279,44,19,0.24907546325991,1
9.09143538632361,45,18,0.255877339559057,1
9.11296071164303,46,17,0.281156804834994,1
9.12825215227739,47,16,0.28837551172897,1
9.18090370917938,48,15,0.295529623938628,1
9.20065343636747,49,14,0.30261250473692,1
9.24816477930069,50,13,0.309616814200173,1
9.25148241062021,51,12,0.316534354680632,1
9.25974326369078,52,11,0.323355886553498,1
9.26303440583379,53,10,0.53814518106638,1
