gene,n,subtypes,pairs,H,p,epsilon_squared,v1_H,v1_p,cache_hit
HLX,763,12,66,240.891656948013,2.24978653827976e-45,0.306114057187767,193.061658380069,1.33110990964024e-41,TRUE
MYC,763,12,66,375.571877995212,9.30478521670663e-74,0.485448572563532,312.978453228031,1.54408325633393e-67,TRUE
SLC2A1,763,12,66,159.509703501557,1.68595192131058e-28,0.197749272305669,96.6767208479572,8.05271531415565e-21,TRUE
