subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"shh_beta","group3_gamma",35,40,"Wilcoxon rank sum test with continuity correction",45,NA,-3.73344403232733,-0.935714285714286,"A lower rank tendency",3.62803987148863e-12,1.99542192931874e-11
"shh_beta","group4_alpha",35,98,"Wilcoxon rank sum test with continuity correction",2070,NA,0.138632192754525,0.206997084548105,"A higher rank tendency",0.0700748707020278,0.0984030099219965
"shh_beta","group4_beta",35,109,"Wilcoxon rank sum test with continuity correction",2580.5,NA,0.18263605319186,0.352817824377457,"A higher rank tendency",0.00173384612565952,0.00336570130275084
"shh_beta","group4_gamma",35,119,"Wilcoxon rank sum test with continuity correction",2610,NA,0.16676466054898,0.253301320528211,"A higher rank tendency",0.023074808482485,0.037144813654732
"shh_gamma","shh_delta",47,76,"Wilcoxon rank sum test with continuity correction",1213.5,NA,-0.18160448975237,-0.320548712206047,"A lower rank tendency",0.00290733692541809,0.00548240677364553
"shh_gamma","group3_alpha",47,67,"Wilcoxon rank sum test with continuity correction",1073.5,NA,-0.17642656738426,-0.31819625277866,"A lower rank tendency",0.00396119160219375,0.00726218460402188
"shh_gamma","group3_beta",47,37,"Wilcoxon rank sum test with continuity correction",179.5,NA,-2.18805605746618,-0.793559516963772,"A lower rank tendency",5.20891865143826e-10,2.02228606467603e-09
"shh_gamma","group3_gamma",47,40,"Wilcoxon rank sum test with continuity correction",59.5,NA,-3.79374454259514,-0.936702127659574,"A lower rank tendency",6.6391653861152e-14,4.38184915483603e-13
"shh_gamma","group4_alpha",47,98,"Wilcoxon rank sum test with continuity correction",2707.5,NA,0.0783316824867146,0.175640468953539,"A higher rank tendency",0.087885388026872,0.120842408536949
"shh_gamma","group4_beta",47,109,"Wilcoxon rank sum test with continuity correction",3375.5,NA,0.12233554292405,0.317782549287527,"A higher rank tendency",0.00167561384921155,0.00335122769842311
"shh_gamma","group4_gamma",47,119,"Wilcoxon rank sum test with continuity correction",3422,NA,0.10646415028117,0.223672447702485,"A higher rank tendency",0.025073246996711,0.0394008167091173
"shh_delta","group3_alpha",76,67,"Wilcoxon rank sum test with continuity correction",2434.5,NA,0.00517792236811054,-0.0437941869599372,"A lower rank tendency",0.653394485738528,0.673813063417857
"shh_delta","group3_beta",76,37,"Wilcoxon rank sum test with continuity correction",430.5,NA,-2.00645156771381,-0.693812233285918,"A lower rank tendency",2.43885133324787e-09,8.5042614335864e-09
"shh_delta","group3_gamma",76,40,"Wilcoxon rank sum test with continuity correction",167.5,NA,-3.61214005284277,-0.889802631578947,"A lower rank tendency",4.05498507790557e-15,5.35258030283535e-14
"shh_delta","group4_alpha",76,98,"Wilcoxon rank sum test with continuity correction",5439.5,NA,0.259936172239085,0.460660580021482,"A higher rank tendency",1.9521997973726e-07,5.15380746506366e-07
"shh_delta","group4_beta",76,109,"Wilcoxon rank sum test with continuity correction",6568.5,NA,0.303940032676421,0.585828102366007,"A higher rank tendency",1.28326238524323e-11,6.51502441738872e-11
"shh_delta","group4_gamma",76,119,"Wilcoxon rank sum test with continuity correction",6777.5,NA,0.28806864003354,0.498783724015922,"A higher rank tendency",4.42864545036059e-09,1.461452998619e-08
"group3_alpha","group3_beta",67,37,"Wilcoxon rank sum test with continuity correction",436,NA,-2.01162949008192,-0.648245260185559,"A lower rank tendency",4.97249259730831e-08,1.36743546425978e-07
"group3_alpha","group3_gamma",67,40,"Wilcoxon rank sum test with continuity correction",162,NA,-3.61731797521088,-0.87910447761194,"A lower rank tendency",3.4064976566097e-14,2.49809828151378e-13
"group3_alpha","group4_alpha",67,98,"Wilcoxon rank sum test with continuity correction",4759.5,NA,0.254758249870974,0.449741090466037,"A higher rank tendency",9.70276442524565e-07,2.4630094310239e-06
"group3_alpha","group4_beta",67,109,"Wilcoxon rank sum test with continuity correction",5741.5,NA,0.29876211030831,0.572367520197179,"A higher rank tendency",1.93152160932186e-10,8.39512231819979e-10
"group3_alpha","group4_gamma",67,119,"Wilcoxon rank sum test with continuity correction",5935.5,NA,0.282890717665429,0.488900037626991,"A higher rank tendency",3.23906332866386e-08,9.29470346486151e-08
"group3_beta","group3_gamma",37,40,"Wilcoxon rank sum exact test",399,NA,-1.60568848512896,-0.460810810810811,"A lower rank tendency",0.0004009462510881,0.000882081752393819
"group3_beta","group4_alpha",37,98,"Wilcoxon rank sum test with continuity correction",3326.5,NA,2.26638773995289,0.834804191947049,"A higher rank tendency",8.41549052665869e-14,5.04929431599521e-13
"group3_beta","group4_beta",37,109,"Wilcoxon rank sum test with continuity correction",3793.5,NA,2.31039160039023,0.881229853706918,"A higher rank tendency",1.33226762955019e-15,2.19824158875781e-14
"group3_beta","group4_gamma",37,119,"Wilcoxon rank sum test with continuity correction",4061.5,NA,2.29452020774735,0.844878491937316,"A higher rank tendency",9.32587340685131e-15,1.02584607475364e-13
"group3_gamma","group4_alpha",40,98,"Wilcoxon rank sum test with continuity correction",3830.5,NA,3.87207622508185,0.954336734693878,"A higher rank tendency",0,0
"group3_gamma","group4_beta",40,109,"Wilcoxon rank sum test with continuity correction",4292.5,NA,3.91608008551919,0.969036697247707,"A higher rank tendency",0,0
"group3_gamma","group4_gamma",40,119,"Wilcoxon rank sum test with continuity correction",4658,NA,3.90020869287631,0.957142857142857,"A higher rank tendency",0,0
"group4_alpha","group4_beta",98,109,"Wilcoxon rank sum test with continuity correction",6060.5,NA,0.0440038604373356,0.134712600636585,"A higher rank tendency",0.0947207140168658,0.126325890022744
"group4_alpha","group4_gamma",98,119,"Wilcoxon rank sum test with continuity correction",6168,NA,0.028132467794455,0.0577945463899845,"A higher rank tendency",0.464721923914268,0.528821499626581
"group4_beta","group4_gamma",109,119,"Wilcoxon rank sum test with continuity correction",5988.5,NA,-0.0158713926428806,-0.0766324878575283,"A lower rank tendency",0.318292668514333,0.383933233157476
