subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"group3_alpha","group3_beta",67,37,"Wilcoxon rank sum test with continuity correction",394,NA,-1.89638033182234,-0.682129891085115,"A lower rank tendency",9.61463330432765e-09,1.76268277246007e-08
"group3_alpha","group3_gamma",67,40,"Wilcoxon rank sum test with continuity correction",131,NA,-3.2910135796622,-0.902238805970149,"A lower rank tendency",7.17236496001256e-15,3.15584058240553e-14
"group3_alpha","group4_alpha",67,98,"Wilcoxon rank sum test with continuity correction",5022,NA,1.4409416540192,0.529698446542796,"A higher rank tendency",7.99694466202539e-09,1.50799527912479e-08
"group3_alpha","group4_beta",67,109,"Wilcoxon rank sum test with continuity correction",6363,NA,1.52816474783277,0.742571545940025,"A higher rank tendency",2.22044604925031e-16,1.22124532708767e-15
"group3_alpha","group4_gamma",67,119,"Wilcoxon rank sum test with continuity correction",5601,NA,0.99666171457477,0.404991847485263,"A higher rank tendency",4.67363360145967e-06,7.17348413247298e-06
"group3_beta","group3_gamma",37,40,"Wilcoxon rank sum exact test",292,NA,-1.39463324783986,-0.605405405405405,"A lower rank tendency",2.00521471595404e-06,3.22790661592602e-06
"group3_beta","group4_alpha",37,98,"Wilcoxon rank sum test with continuity correction",3174,NA,3.33732198584154,0.750689464975179,"A higher rank tendency",1.92796889564306e-11,4.71281285601637e-11
"group3_beta","group4_beta",37,109,"Wilcoxon rank sum test with continuity correction",3869,NA,3.42454507965511,0.918670964542524,"A higher rank tendency",0,0
"group3_beta","group4_gamma",37,119,"Wilcoxon rank sum test with continuity correction",4019,NA,2.89304204639711,0.825573472632296,"A higher rank tendency",3.70814490224802e-14,1.22368781774185e-13
"group3_gamma","group4_alpha",40,98,"Wilcoxon rank sum test with continuity correction",3726,NA,4.7319552336814,0.901020408163265,"A higher rank tendency",2.22044604925031e-16,1.22124532708767e-15
"group3_gamma","group4_beta",40,109,"Wilcoxon rank sum test with continuity correction",4328,NA,4.81917832749497,0.985321100917431,"A higher rank tendency",0,0
"group3_gamma","group4_gamma",40,119,"Wilcoxon rank sum test with continuity correction",4635,NA,4.28767529423697,0.947478991596639,"A higher rank tendency",0,0
"group4_alpha","group4_beta",98,109,"Wilcoxon rank sum test with continuity correction",6123,NA,0.0872230938135745,0.146414529114398,"A higher rank tendency",0.0693378850459914,0.0847463039451006
"group4_alpha","group4_gamma",98,119,"Wilcoxon rank sum test with continuity correction",4258.5,NA,-0.444279939444425,-0.269679300291545,"A lower rank tendency",0.000637070128815074,0.000894609117059465
"group4_beta","group4_gamma",109,119,"Wilcoxon rank sum test with continuity correction",3451.5,NA,-0.531503033258,-0.467812813198674,"A lower rank tendency",1.07910805961458e-09,2.22566037295508e-09
