subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"shh_beta","group4_alpha",35,98,"Wilcoxon rank sum test with continuity correction",1128,NA,-0.214540503482001,-0.342274052478134,"A lower rank tendency",0.00272814032663378,0.00666878746510478
"shh_beta","group4_beta",35,109,"Wilcoxon rank sum test with continuity correction",1180,NA,-0.17995000509403,-0.381389252948886,"A lower rank tendency",0.000709056677237976,0.00194990586240443
"shh_beta","group4_gamma",35,119,"Wilcoxon rank sum test with continuity correction",977,NA,-0.411292417626409,-0.530852340936375,"A lower rank tendency",1.89704673189049e-06,9.11609698241184e-06
"shh_gamma","shh_delta",47,76,"Wilcoxon rank sum test with continuity correction",2778,NA,0.70973959019072,0.555431131019037,"A higher rank tendency",2.45889820504885e-07,1.47533892302931e-06
"shh_gamma","group3_alpha",47,67,"Wilcoxon rank sum test with continuity correction",1009.5,NA,-0.184631701489529,-0.358844077484916,"A lower rank tendency",0.00115594282184975,0.00305168904968335
"shh_gamma","group3_beta",47,37,"Wilcoxon rank sum test with continuity correction",759,NA,-0.0532898988758888,-0.127084531339851,"A lower rank tendency",0.321624524065051,0.408215742082564
"shh_gamma","group3_gamma",47,40,"Wilcoxon rank sum test with continuity correction",1014,NA,0.18710339304487,0.0787234042553191,"A higher rank tendency",0.531328794745922,0.594367804292049
"shh_gamma","group4_alpha",47,98,"Wilcoxon rank sum test with continuity correction",2805,NA,0.31601389675525,0.217976552323057,"A higher rank tendency",0.0341344041375771,0.0549480651970753
"shh_gamma","group4_beta",47,109,"Wilcoxon rank sum test with continuity correction",3115.5,NA,0.35060439514322,0.216279523716572,"A higher rank tendency",0.0325210467543373,0.0536597271446566
"shh_gamma","group4_gamma",47,119,"Wilcoxon rank sum test with continuity correction",2952,NA,0.119261982610841,0.055605220811729,"A higher rank tendency",0.578501569632525,0.636351726595778
"shh_delta","group3_alpha",76,67,"Wilcoxon rank sum test with continuity correction",280,NA,-0.894371291680249,-0.890023566378633,"A lower rank tendency",4.95782314757271e-20,3.27216327739799e-18
"shh_delta","group3_beta",76,37,"Wilcoxon rank sum test with continuity correction",391,NA,-0.763029489066609,-0.721906116642959,"A lower rank tendency",5.39970162205597e-10,4.45475383819617e-09
