cutoff,low_n,high_n,p_value,adjusted_p
5.38887833881199,10,53,0.619641159796502,1
5.39574832817903,11,52,0.602011832581183,1
5.40258575823259,12,51,0.547872048429797,1
5.4093909361377,13,50,0.532866702397881,1
5.41953889151378,14,49,0.518001334561949,1
5.4262647547021,16,47,0.488612195654558,1
5.42961596420174,17,46,0.474054535999044,1
5.43295940727611,18,45,0.785154195589764,1
5.44625622988956,19,44,0.804577416607352,1
5.44956137461324,20,43,0.823792553058267,1
5.4594316186373,21,42,0.899788696884345,1
5.49505552836802,23,40,0.918108798659676,1
5.51096191927738,24,39,0.936298338665911,1
5.51727569320958,25,38,0.992913450104874,1
5.52042224852645,26,37,0.975408267920045,1
5.53294028837287,27,36,0.957970380714824,1
5.54225804976692,28,35,0.940582517422551,1
5.56985560833095,29,34,0.92322775813119,1
5.57288966842058,31,32,0.840451007512338,1
5.58195375084882,32,31,0.325375333271822,1
5.59395128394841,33,30,0.374130883832952,1
5.61470984411521,34,29,0.384938915053054,1
5.62935662007961,35,28,0.395753866435768,1
5.65535182861255,36,27,0.406578394115289,1
5.6582114827518,37,26,0.458340281036834,1
5.66391384211598,38,25,0.469853827214243,1
5.69488019279919,39,24,0.481398711475642,1
5.71973105674985,40,23,0.492980792845429,1
5.74146698640115,41,22,0.504606434208268,1
5.76818432477693,42,21,0.516282541623359,1
5.7839804136838,43,20,0.572754389773745,1
5.8073549220576,44,19,0.630628584219233,1
5.82273014794452,45,18,0.630628584219233,1
5.83035674741922,46,17,0.690254904326992,1
5.83794324189103,47,16,0.70455296983739,1
5.84297883178833,48,15,0.719028454568571,1
5.85299758761332,49,14,0.719028454568571,1
5.87282875953489,50,13,0.719028454568571,1
5.89481776330794,51,12,0.782957197793284,1
5.90929308582382,52,11,0.850008099998847,1
5.94953493301701,53,10,0.850008099998847,1
