group,n,mean,median,iqr
"atrt",10,3.90829483329176,3.98449895636912,0.524006346768163
"etmr",4,5.64825421144249,5.59724839444763,0.80202911822621
"hgg_k27m",9,4.23335803031823,4.20320115631661,0.672680521203177
"hggother",17,4.24543478143984,4.24792751344359,0.40165713522468
"mb_group3",37,4.95154290550158,4.94345253855882,0.563041882464234
"mb_group4",64,4.56604746269359,4.55243590230239,0.548579108239329
"mb_shh",25,4.53380495511711,4.55090066464752,0.696069522281212
"mb_wnt",12,4.23172096101241,4.21645298656846,0.22252289966702
"pa",68,3.64881672834343,3.62701353610462,0.80173259116509
