time,survival,lower,upper,censored,group
0,1,1,1,0,"High"
0.0816666666666667,0.985915492957746,0.904204804151437,0.998003930385743,0,"High"
0.248333333333333,0.985915492957746,0.904204804151437,0.998003930385743,2,"High"
0.5,0.971416735708368,0.890481475221749,0.992775920802298,0,"High"
0.666666666666667,0.942419221209611,0.85378857135358,0.977995728766089,0,"High"
0.715833333333333,0.927920463960232,0.835433356044178,0.96935437661841,0,"High"
0.989166666666667,0.927920463960232,0.835433356044178,0.96935437661841,1,"High"
0.9975,0.913191567706895,0.816894300338257,0.960045969828003,1,"High"
1.06583333333333,0.89822121413793,0.798246393328525,0.950154681489012,0,"High"
1.08166666666667,0.89822121413793,0.798246393328525,0.950154681489012,1,"High"
1.1475,0.88299712576271,0.779501869402276,0.9397340773976,0,"High"
1.22166666666667,0.88299712576271,0.779501869402276,0.9397340773976,1,"High"
1.33083333333333,0.867505948117751,0.760650094955834,0.928818655307679,0,"High"
1.57916666666667,0.852014770472791,0.742164314722193,0.917580077605086,0,"High"
1.5875,0.836523592827831,0.723994041433403,0.906056270300998,0,"High"
1.66416666666667,0.836523592827831,0.723994041433403,0.906056270300998,1,"High"
1.68,0.836523592827831,0.723994041433403,0.906056270300998,1,"High"
1.83083333333333,0.836523592827831,0.723994041433403,0.906056270300998,1,"High"
1.9975,0.803718746050269,0.685549406770354,0.881205232132312,1,"High"
2.07916666666667,0.803718746050269,0.685549406770354,0.881205232132312,1,"High"
2.16083333333333,0.803718746050269,0.685549406770354,0.881205232132312,2,"High"
2.22916666666667,0.803718746050269,0.685549406770354,0.881205232132312,1,"High"
2.24583333333333,0.803718746050269,0.685549406770354,0.881205232132312,1,"High"
2.3275,0.803718746050269,0.685549406770354,0.881205232132312,1,"High"
2.49166666666667,0.784582585430024,0.662319412203932,0.866881607903636,0,"High"
2.59583333333333,0.784582585430024,0.662319412203932,0.866881607903636,1,"High"
2.7625,0.764968020794274,0.638907572014253,0.851948807519427,0,"High"
2.99416666666667,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.00833333333333,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.07666666666667,0.764968020794274,0.638907572014253,0.851948807519427,2,"High"
3.13416666666667,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.16083333333333,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.3275,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.41,0.764968020794274,0.638907572014253,0.851948807519427,2,"High"
3.49166666666667,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.54083333333333,0.764968020794274,0.638907572014253,0.851948807519427,1,"High"
3.74333333333333,0.737647734337335,0.60256192344667,0.83294841074893,0,"High"
3.825,0.737647734337335,0.60256192344667,0.83294841074893,2,"High"
3.92333333333333,0.737647734337335,0.60256192344667,0.83294841074893,1,"High"
4.65833333333333,0.737647734337335,0.60256192344667,0.83294841074893,1,"High"
4.98916666666667,0.705576093713973,0.559447540836748,0.811071622544986,0,"High"
5.24083333333333,0.705576093713973,0.559447540836748,0.811071622544986,1,"High"
5.3225,0.705576093713973,0.559447540836748,0.811071622544986,1,"High"
5.40416666666667,0.705576093713973,0.559447540836748,0.811071622544986,1,"High"
5.57083333333333,0.705576093713973,0.559447540836748,0.811071622544986,1,"High"
6.07083333333333,0.705576093713973,0.559447540836748,0.811071622544986,1,"High"
6.2375,0.664071617613151,0.501398672943993,0.784471515109285,0,"High"
