cutoff,low_n,high_n,p_value,adjusted_p
8.47451716417449,18,154,0.269349988094079,1
8.56262403909987,19,153,0.288899691005539,1
8.56414948998573,20,152,0.336129054677407,1
8.57931593758001,21,151,0.351265028985674,1
8.58871463558227,22,150,0.179259187043777,1
8.5909612413426,23,149,0.069350215695347,1
8.59544398458948,24,148,0.132020973053235,1
8.61176256006487,25,147,0.167177293476835,1
8.62716906084185,26,146,0.195031911101032,1
8.62972089101726,27,145,0.278571097360065,1
8.63081315229913,28,144,0.303224233336847,1
8.63408498320074,29,143,0.342875535186582,1
8.63734941083314,31,141,0.491388194371429,1
8.63807383718072,32,140,0.640232064969568,1
8.68334556167657,33,139,0.795570599927493,1
8.68474862042163,34,138,0.951503200496636,1
8.68544963843391,35,137,0.998738767181827,1
8.69383539248252,36,136,0.755796166898966,1
8.69418374333315,37,135,0.829021046767432,1
8.71493235178568,39,133,0.68550486411181,1
8.72553667843106,40,132,0.765787004583037,1
8.72860081064319,41,131,0.827401955565185,1
8.74011804283313,42,130,0.563015698803716,1
8.75888943272096,43,129,0.619022084533366,1
8.76652890859886,44,128,0.411517780754593,1
8.77807712953536,45,127,0.459574539222288,1
8.7797193551434,46,126,0.285474717075382,1
8.78496195020486,47,125,0.293105871180719,1
8.78626962764847,48,124,0.303186265189934,1
8.78692302215279,49,123,0.352470668148335,1
8.78888143201129,50,122,0.364898861200991,1
8.79506558265962,51,121,0.469669857858947,1
8.80025280637239,52,120,0.504330539182314,1
8.8008998999203,53,119,0.580999022739524,1
8.81922110355015,54,118,0.633729949421789,1
8.82368568062603,55,117,0.695262562178134,1
8.84360704649056,56,116,0.744359160146595,1
8.84768378771685,57,115,0.829013142364298,1
8.85393328867793,58,114,0.869293035234639,1
8.86666075081999,59,113,0.673533793840103,1
8.868822554775,60,112,0.469052642979144,1
8.8703647195834,61,111,0.515108932825869,1
8.89117612475454,62,110,0.410520266380437,1
8.89935692292311,63,109,0.438811834143772,1
8.90598862931413,64,108,0.471589210561588,1
8.92273304987684,65,107,0.496769766228818,1
8.9242186797485,66,106,0.549442374208922,1
8.92570278135134,67,105,0.622787660847784,1
8.92629599478111,68,104,0.7412263440201,1
8.92807417295309,69,103,0.51252150150296,1
8.93132848489379,70,102,0.533361836143012,1
8.9316239677501,71,101,0.583310930850863,1
8.93545974780529,72,100,0.638440479077374,1
8.93693233652239,73,99,0.755976171099869,1
8.94222124483597,74,98,0.802545292980287,1
8.94836723158468,75,97,0.855468116202912,1
8.94895120044142,76,96,0.895767763115034,1
8.95332344858296,77,95,0.976880236777647,1
8.96693797927846,78,94,0.957503495650485,1
8.96722625883599,79,93,0.931141661224337,1
8.97211821838414,80,92,0.883838550297284,1
8.977566144122,81,91,0.786856988096918,1
8.97842446544086,83,89,0.62949759424403,1
8.98042523154384,84,88,0.865976470523193,1
8.9901039638575,85,87,0.828608218058023,1
8.99661471481536,86,86,0.816418576278725,1
9.01122725542325,87,85,0.757967402972438,1
9.02070220379104,88,84,0.700828553103108,1
9.02762959173316,89,83,0.6676133800717,1
9.02790599656988,90,82,0.624742333609247,1
9.03672310600552,91,81,0.825565628891987,1
9.04330075436418,92,80,0.801638677219619,1
9.05256805080415,93,79,0.766783770105196,1
9.05392588153111,94,78,0.690455079780982,1
9.05690861832325,95,77,0.687635317053263,1
9.05853297020161,96,76,0.576473140668686,1
9.06123616574775,97,75,0.524993003174502,1
9.07440909934374,98,74,0.481566991808059,1
9.0749442236232,99,73,0.702295222789696,1
9.07868454619464,100,72,0.91575433730028,1
9.09064175191785,101,71,0.846576919302909,1
9.0911708900279,102,70,0.867283085107684,1
9.104074518442,103,69,0.92053366293139,1
9.1048607997082,104,68,0.981719797977511,1
9.11426290059405,105,67,0.981771264317026,1
9.11478344724985,106,66,0.951161803353642,1
9.11582397743624,107,65,0.902874553588062,1
9.12231034319074,108,64,0.851823032079265,1
9.12282799480767,109,63,0.771106716056638,1
9.13468300468756,110,62,0.692191622559194,1
9.13955135239879,111,61,0.634389256800817,1
9.14108531856233,112,60,0.816639622708453,1
9.14414836650889,113,59,0.693038942482433,1
9.14593214582052,114,58,0.690064575072563,1
9.1548181090521,115,57,0.612457963740549,1
9.16087986183931,116,56,0.804950483770542,1
9.16817065999688,117,55,0.950090136554326,1
9.17267752078386,118,54,0.807726561133614,1
9.17317741512042,119,53,0.936738748047608,1
9.17367713630342,120,52,0.976805160279694,1
9.17542479858969,121,51,0.919036067260877,1
9.19401808422216,122,50,0.851714375793224,1
9.20065343636747,123,49,0.908618938173418,1
9.22905911963416,124,48,0.955565243934587,1
9.26115467261557,125,47,0.817521851985785,1
9.26748898088125,126,46,0.764756183744222,1
9.2777523356938,127,45,0.735669733055762,1
9.28886607416582,128,44,0.601894321291471,1
9.2916311829009,129,43,0.55254656915182,1
9.29920801838728,130,42,0.504584292753456,1
9.31288295528436,131,41,0.465106271308984,1
9.32012359804061,132,40,0.352229284629336,1
9.32192809488736,133,39,0.312929517869799,1
9.32260419973808,134,38,0.520217299911033,1
9.35292621305926,135,37,0.465231136515538,1
9.35579154675365,136,36,0.736543985465169,1
9.36062764619295,137,35,0.680000837352324,1
9.37634248280467,138,34,0.586099309567783,1
9.38348830399534,139,33,0.449173758320345,1
9.38973887867698,140,32,0.367550455374759,1
9.39360496863922,141,31,0.347447746687205,1
9.39424831092007,142,30,0.591415442698542,1
9.43400264619704,143,29,0.907732310488158,1
9.44294349584873,144,28,0.789353704015413,1
9.45532722030456,145,27,0.998677464325136,1
9.47147200359646,146,26,0.927232825336576,1
9.48964729348844,147,25,0.85993449100895,1
9.50462039240355,148,24,0.897893994484454,1
9.52610794674445,149,23,0.95216911524794,1
9.55631444898191,150,22,0.94388767529088,1
9.57345784501114,151,21,0.723781081639521,1
9.58721495245254,152,20,0.797273792224317,1
9.59600334939425,153,19,0.886597056504754,1
9.62241793925047,154,18,0.9243336222115,1
