ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000710","NCI-H854","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"SLC2A1"
"ACH-000711","JIMT-1","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC",-0.592643958795083,FALSE,"SLC2A1"
"ACH-000712","HCC-1833","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000713","Caov-3","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",-0.182941230913187,FALSE,"SLC2A1"
"ACH-000714","KMS-11","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",-1.01849226616208,FALSE,"SLC2A1"
"ACH-000715","SNU-1214","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","LXSC",NA,FALSE,"SLC2A1"
"ACH-000716","TT2609-C02","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","THFO",-1.172520176059,FALSE,"SLC2A1"
"ACH-000717","COLO-680N","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC",-0.238565388852188,FALSE,"SLC2A1"
"ACH-000718","NCI-H2291","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.83043513901322,FALSE,"SLC2A1"
"ACH-000719","RMG-I","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Clear Cell Ovarian Cancer","CCOV",-1.16029549789913,FALSE,"SLC2A1"
"ACH-000720","TCCSUP","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.0580967086709859,FALSE,"SLC2A1"
"ACH-000721","HMC-1-8","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC",-0.598842770734204,FALSE,"SLC2A1"
"ACH-000722","SNU-C1","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-1.00613606323765,FALSE,"SLC2A1"
"ACH-000723","YD-10B","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",NA,FALSE,"SLC2A1"
"ACH-000724","HT-1376","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.311481111920149,FALSE,"SLC2A1"
"ACH-000725","HCC202","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","DCIS",-0.855170130195794,FALSE,"SLC2A1"
"ACH-000726","TE-14","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC",NA,FALSE,"SLC2A1"
"ACH-000727","NCI-H2066","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000728","KASUMI-2","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1","BLLTCF3PBX1",NA,FALSE,"SLC2A1"
"ACH-000729","NCI-H1963","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000730","SK-MEL-5","Skin","Melanoma","Cutaneous Melanoma","SKCM",NA,FALSE,"SLC2A1"
"ACH-000731","HCC-2279","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","LUAS",NA,FALSE,"SLC2A1"
"ACH-000732","PE/CA-PJ41 (clone D2)","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-0.364344871180381,FALSE,"SLC2A1"
"ACH-000733","NCI-H1838","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000734","JHH-5","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-0.180504091463454,FALSE,"SLC2A1"
"ACH-000735","PE/CA-PJ49","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-0.223464597215286,FALSE,"SLC2A1"
"ACH-000736","SNU-601","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Signet Ring Cell Carcinoma of the Stomach","SSRCC",-0.885484264827118,FALSE,"SLC2A1"
"ACH-000737","NCI-H1385","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",NA,FALSE,"SLC2A1"
"ACH-000738","GB-1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",-0.194216954204135,FALSE,"SLC2A1"
"ACH-000739","Hep G2","Liver","Hepatoblastoma","Hepatoblastoma","LIHB",-0.656926429744156,FALSE,"SLC2A1"
"ACH-000740","A-253","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-9.75421670014742e-05,FALSE,"SLC2A1"
"ACH-000741","U-BLC1","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.748548495702185,FALSE,"SLC2A1"
"ACH-000742","DM-3","Fibroblast","Non-Cancerous","Fibroblast, Lung","",NA,FALSE,"SLC2A1"
"ACH-000743","COR-L95","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000744","NCI-H1623","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000745","MOLP-8","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"SLC2A1"
